Tiempo,Temperatura
221.81,38.00
222.02,38.00
222.22,38.25
222.43,38.00
222.63,38.25
222.83,38.00
223.04,38.50
223.37,38.50
223.45,38.25
223.65,38.50
223.85,38.25
224.06,38.25
224.26,38.50
224.47,38.75
224.67,38.50
224.88,38.75
225.41,38.50
225.49,38.75
225.58,38.75
225.69,39.00
225.89,39.00
226.46,38.75
226.54,39.00
226.63,39.00
226.74,39.00
226.94,39.00
227.50,39.25
227.58,39.25
227.66,39.00
227.77,39.25
227.97,39.00
228.55,38.75
228.63,39.25
228.71,38.75
228.81,39.50
229.01,39.25
229.60,39.75
229.67,39.50
229.74,39.25
229.84,39.25
230.04,39.50
230.24,39.50
230.45,39.75
230.65,39.75
231.16,39.25
231.24,39.75
231.32,39.75
231.49,40.00
231.69,39.75
232.21,39.75
232.28,39.75
232.37,39.75
232.52,39.50
232.73,39.75
233.26,40.00
233.31,40.00
233.34,40.25
233.54,40.00
233.74,40.25
233.95,40.25
234.15,40.50
234.36,40.25
234.58,40.50
234.78,40.50
234.99,39.75
235.19,40.50
235.39,40.50
235.59,40.75
235.80,40.75
236.00,40.50
236.21,41.00
236.41,40.75
236.61,40.75
236.82,40.50
237.02,41.00
237.23,40.25
237.43,40.75
237.64,40.50
237.84,40.75
238.05,41.00
238.25,40.75
238.46,41.25
238.66,41.25
238.86,41.50
239.07,41.25
239.27,41.50
239.47,41.50
239.68,41.50
239.88,41.50
240.08,41.75
240.29,41.75
240.49,41.50
240.70,41.50
240.91,41.75
241.12,42.00
241.33,41.75
241.54,41.50
241.74,42.00
241.96,42.00
242.16,41.50
242.36,42.00
242.56,42.00
242.77,41.75
242.98,41.50
243.18,42.00
243.38,41.75
243.59,42.25
243.79,42.25
244.00,42.00
244.20,42.50
244.40,42.25
244.61,42.25
244.81,41.50
245.02,42.25
245.22,42.75
245.42,42.75
245.63,42.25
245.83,42.25
246.05,42.25
246.25,42.50
246.46,42.50
246.67,42.75
246.88,43.00
247.08,42.75
247.28,43.00
247.49,42.75
247.69,43.00
247.89,42.75
248.10,43.25
248.30,43.25
248.51,43.00
248.71,43.00
248.92,43.00
249.12,43.25
249.33,43.00
249.53,43.00
249.73,43.50
249.94,43.25
250.14,43.25
250.34,43.25
250.55,43.25
250.75,43.50
250.97,43.50
251.18,43.50
251.39,43.50
251.59,43.50
251.79,43.25
252.00,43.25
252.20,43.75
252.41,43.75
252.61,43.75
252.82,43.75
253.03,43.50
253.24,43.75
253.44,44.00
253.64,43.50
253.85,43.50
254.05,44.00
254.26,44.25
254.46,44.00
254.66,44.25
254.87,44.00
255.07,44.25
255.28,44.50
255.48,44.00
255.68,44.25
255.88,44.50
256.09,44.50
256.29,44.75
256.49,44.50
256.70,44.75
256.90,44.75
257.10,44.50
257.31,44.50
257.51,45.00
257.71,44.75
257.92,45.00
258.12,44.75
258.33,44.50
258.53,44.75
258.73,44.75
258.94,44.75
259.14,45.00
259.34,45.00
259.55,45.00
259.75,45.25
259.96,45.25
260.17,45.25
260.37,45.25
260.58,45.25
260.78,45.50
260.99,45.50
261.19,45.50
261.40,45.50
261.60,45.50
261.81,45.75
262.01,45.50
262.21,45.50
262.42,45.75
262.62,45.75
262.83,45.75
263.03,46.00
263.23,46.00
263.44,46.00
263.65,46.00
263.85,46.00
264.05,46.25
264.26,46.00
264.46,46.25
264.66,45.75
264.86,46.00
265.07,46.50
265.27,46.25
265.48,46.25
265.68,46.50
265.89,46.25
266.09,46.25
266.30,46.50
266.50,46.75
266.70,46.25
266.91,46.25
267.11,46.25
267.32,46.25
267.52,47.00
267.74,46.75
267.94,46.75
268.14,46.75
268.35,46.75
268.55,46.50
268.76,47.25
268.96,47.25
269.17,47.00
269.37,47.25
269.58,47.00
269.78,47.50
269.98,47.25
270.19,47.50
270.39,47.25
270.59,47.25
270.80,46.75
271.00,47.50
271.21,47.75
271.41,47.50
271.62,48.00
271.82,47.00
272.03,47.75
272.23,48.00
272.43,47.75
272.64,47.50
272.84,48.00
273.04,48.00
273.25,48.25
273.45,48.25
273.66,47.75
273.86,48.25
274.06,48.00
274.27,48.00
274.47,48.50
274.67,48.25
274.88,48.25
275.08,48.50
275.28,48.50
275.49,48.00
275.69,48.00
275.89,48.25
276.10,48.50
276.30,48.50
276.50,48.75
276.71,48.50
276.91,47.75
277.12,48.75
277.32,49.00
277.53,49.00
277.73,48.50
277.94,48.75
278.14,48.50
278.34,49.00
278.54,49.00
278.75,49.25
278.95,49.00
279.16,49.00
279.36,49.50
279.57,49.25
279.77,49.25
279.98,49.00
280.18,49.75
280.38,49.00
280.59,49.25
280.79,49.25
281.00,49.75
281.20,49.50
281.40,49.75
281.61,49.50
281.81,50.00
282.01,50.00
282.22,49.50
282.42,49.75
282.62,50.00
282.83,50.00
283.04,49.75
283.25,50.25
283.45,50.25
283.66,49.75
283.86,50.00
284.07,50.00
284.27,50.25
284.48,50.50
284.68,50.25
284.88,50.25
285.09,50.00
285.29,50.50
285.50,50.00
285.70,50.25
285.91,50.25
286.11,51.00
286.32,50.75
286.52,50.75
286.72,50.75
286.93,50.75
287.13,50.25
287.34,50.75
287.54,50.75
287.75,50.75
287.95,51.00
288.16,50.75
288.36,51.25
288.57,51.00
288.77,51.00
288.97,50.75
289.17,51.50
289.38,51.00
289.58,51.00
289.79,50.75
289.99,51.25
290.20,51.50
290.40,51.25
290.60,51.75
290.81,51.00
291.02,51.75
291.22,51.75
291.42,51.25
291.63,52.00
291.83,51.00
292.04,51.75
292.24,51.50
292.45,52.00
292.65,52.00
292.85,51.75
293.06,51.75
293.26,52.00
293.46,52.00
293.67,52.00
293.87,52.00
294.07,52.25
294.28,51.50
294.48,52.00
294.69,52.00
294.89,52.25
295.09,52.00
295.30,52.50
295.50,52.50
295.72,52.25
295.92,52.25
296.13,52.75
296.33,52.75
296.54,52.75
296.74,52.75
296.95,53.00
297.15,53.00
297.36,53.00
297.56,53.00
297.76,52.75
297.97,52.75
298.17,52.75
298.38,53.25
298.58,53.00
298.79,52.75
298.99,53.25
299.20,53.25
299.40,53.00
299.61,53.00
299.81,53.50
300.02,53.50
300.22,53.25
300.43,53.75
300.63,53.00
300.83,53.50
301.04,53.75
301.24,53.75
301.44,53.75
301.65,54.00
301.85,53.75
302.06,53.75
302.26,54.25
302.47,53.75
302.67,54.00
302.87,54.00
303.08,53.75
303.28,54.25
303.49,54.00
303.69,53.75
303.89,54.25
304.10,54.25
304.30,54.25
304.51,54.00
304.71,54.25
304.92,54.50
305.12,54.25
305.32,54.00
305.53,54.50
305.73,54.75
305.95,54.50
306.15,54.75
306.36,54.75
306.56,54.50
306.76,55.00
306.97,55.00
307.17,55.00
307.37,55.00
307.58,55.25
307.78,55.00
307.99,54.75
308.19,55.25
308.39,55.50
308.60,55.00
308.80,55.00
309.01,55.75
309.21,54.75
309.41,55.25
309.62,55.25
309.82,55.25
310.03,55.25
310.23,55.50
310.43,55.75
310.64,55.25
310.84,55.75
311.04,55.50
311.25,55.50
311.45,55.50
311.65,55.75
311.86,56.00
312.06,56.00
312.27,56.25
312.47,56.25
312.68,55.75
312.88,55.75
313.08,56.25
313.29,56.00
313.50,56.50
313.70,56.25
313.90,56.50
314.11,56.25
314.31,56.50
314.52,56.50
314.72,56.25
314.92,56.75
315.13,56.75
315.33,56.75
315.54,57.00
315.75,57.25
315.95,56.75
316.15,56.50
316.36,56.75
316.56,57.00
316.76,56.75
316.97,57.00
317.17,57.00
317.37,57.25
317.58,57.00
317.79,57.25
318.00,57.25
318.20,57.25
318.40,57.00
318.61,57.50
318.81,57.50
319.03,57.50
319.23,57.25
319.44,57.75
319.64,57.75
319.84,57.50
320.05,57.25
320.26,58.00
320.46,57.75
320.67,58.00
320.87,58.00
321.08,57.75
321.28,57.75
321.48,58.25
321.69,58.00
321.89,58.25
322.09,58.25
322.30,58.25
322.50,58.25
322.71,58.50
322.91,58.50
323.12,58.25
323.32,58.50
323.53,58.50
323.74,58.00
323.94,58.75
324.14,58.50
324.35,58.75
